0: AIKEN; original id: 52
1: ALBERT; original id: 62
2: ARENDS; original id: 226
3: ASHLEY; original id: 267
4: BARRETT; original id: 465
5: Bennett, Charles E. [FL-3]; original id: 633
6: BENNETT; original id: 645
7: Bentsen, Lloyd M. [TX]; original id: 660
8: BIBLE; original id: 688
9: BLATNIK; original id: 789
10: BOLAND; original id: 830
11: BOLLING; original id: 835
12: BRADEMAS; original id: 948
13: BRAY; original id: 986
14: Brooks, Jack B. [TX-9]; original id: 1077
15: Broomfield, William S. [MI-18]; original id: 1087
16: BROYHILL (VA.); original id: 1154
17: Burdick, Quentin N. [ND]; original id: 1252
18: BURKE (MASS.); original id: 1265
19: BURLESON; original id: 1282
20: Byrd, Robert C. [WV]; original id: 1366
21: CANNON; original id: 1482
22: CASE; original id: 1569
23: CASEY; original id: 1577
24: CEDERBERG; original id: 1610
25: CHAMBERLAIN; original id: 1620
26: CHURCH; original id: 1721
27: CLARK; original id: 1763
28: COLLIER; original id: 1941
29: Conte, Silvio O. [MA-1]; original id: 2009
30: COTTON; original id: 2087
31: CURTIS; original id: 2267
32: DANIELS, DOMINICK V.; original id: 2329
33: DAVIS (WISC.); original id: 2383
34: DELANEY; original id: 2476
35: DENT; original id: 2513
36: DERWINSKI; original id: 2525
37: DEVINE; original id: 2533
38: DIGGS; original id: 2594
39: Dingell, John D. [MI-16]; original id: 2605
40: DONOHUE; original id: 2660
41: DORN; original id: 2672
42: DOWNING; original id: 2706
43: DULSKI; original id: 2752
44: EASTLAND; original id: 2822
45: ERVIN; original id: 2987
46: EVINS; original id: 3034
47: Fascell, Dante B. [FL-19]; original id: 3078
48: FISHER; original id: 3171
49: FLOOD; original id: 3224
50: FLYNT; original id: 3242
51: FONG; original id: 3255
52: GERALD R. FORD; original id: 3268
53: FOUNTAIN; original id: 3321
54: FRELINGHUYSEN; original id: 3364
55: FULBRIGHT; original id: 3388
56: GIAIMO; original id: 3553
57: GOLDWATER; original id: 3658
58: GRAY; original id: 3769
59: GREEN (ORE.); original id: 3775
60: GRIFFIN; original id: 3824
61: GRIFFITHS; original id: 3830
62: GROSS; original id: 3853
63: GUBSER; original id: 3867
64: HALEY; original id: 3929
65: HANSEN (WASH.); original id: 4043
66: HART (MICH.); original id: 4148
67: HARTKE; original id: 4154
68: HAYS; original id: 4247
69: HEBERT; original id: 4275
70: HECHLER; original id: 4276
71: HOLIFIELD; original id: 4514
72: HOSMER; original id: 4592
73: HRUSKA; original id: 4660
74: HUMPHREY; original id: 4728
75: Inouye, Daniel K. [HI]; original id: 4812
76: JACKSON; original id: 4851
77: JARMAN; original id: 4891
78: JAVITS; original id: 4898
79: JOHNSON (CALIF.); original id: 4957
80: JONES (ALA.); original id: 5058
81: KARTH; original id: 5098
82: Kastenmeier, Robert W. [WI-2]; original id: 5101
83: KLUCZYNSKI; original id: 5326
84: LANDRUM; original id: 5436
85: LATTA; original id: 5495
86: LONG, R.; original id: 5767
87: MACDONALD; original id: 5873
88: MADDEN; original id: 5900
89: MAGNUSON; original id: 5913
90: MAHON; original id: 5924
91: MAILLIARD; original id: 5929
92: MANSFIELD; original id: 5967
93: MCCLELLAN; original id: 6151
94: MCFALL; original id: 6240
95: MCGEE; original id: 6249
96: MCGOVERN; original id: 6256
97: METCALF; original id: 6442
98: Michel, Robert H. [IL-18]; original id: 6455
99: MILLS (ARK.); original id: 6532
100: MINSHALL; original id: 6548
101: MOLLOHAN; original id: 6584
102: MONTOYA; original id: 6611
103: MOORHEAD (PA.); original id: 6661
104: MORGAN; original id: 6685
105: MOSS; original id: 6754
106: MOSS; original id: 6756
107: MUSKIE; original id: 6831
108: Natcher, William H. [KY-2]; original id: 6845
109: NELSEN; original id: 6860
110: NIX; original id: 6936
111: O'HARA; original id: 7043
112: O'NEILL; original id: 7081
113: PASSMAN; original id: 7228
114: PASTORE; original id: 7229
115: PATMAN; original id: 7232
116: Pepper, Claude [FL-18]; original id: 7333
117: PERKINS; original id: 7343
118: POAGE; original id: 7498
119: PRICE (ILL.); original id: 7610
120: PROXMIRE; original id: 7638
121: QUIE; original id: 7671
122: RANDALL; original id: 7717
123: RANDOLPH; original id: 7722
124: REUSS; original id: 7824
125: RHODES; original id: 7845
126: RIBICOFF; original id: 7847
